source_file,event_time_s,event_datetime_utc_if_available,detected_channels,merged_detection_count,A_ns,A_we,ratio_we_ns,energy_ns,energy_we,snr_ns,snr_we,magnetic_axis_deg,arrival_axis_deg,azimuth_candidate_1,azimuth_candidate_2,pca_lambda1,pca_lambda2,pca_linearity,is_saturated,quality_flag
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,0.2680000066757202,2026-06-02T13:51:00.268000,we,1,59.77836608886719,30.286991119384766,0.5066547164296742,3577026.25,918219.1875,1.0173040613171043,0.9923865461598768,159.00925615820344,159.00925615820344,159.00925615820344,339.00925615820347,4035.9912652242724,459.2540016084622,8.788146104527915,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,0.3720000088214874,2026-06-02T13:51:00.372000,we,1,58.799678802490234,30.61033058166504,0.5205866971567221,3460859.75,937929.375,1.0030960182141548,1.0381852023498679,158.1823488866669,158.1823488866669,158.1823488866669,338.1823488866669,3942.359503797242,456.42978418830955,8.637384413482383,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,0.5759999752044678,2026-06-02T13:51:00.576000,we,1,57.23973083496094,30.27301025390625,0.5288810728546532,3279663.0,917371.625,1.0009308900124472,1.0269983038853585,157.98828333008726,157.98828333008726,157.98828333008726,337.98828333008726,3741.1518709336915,455.88270106953956,8.206391385671408,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,0.7509999871253967,2026-06-02T13:51:00.751000,ns|we,2,56.364044189453125,30.380516052246094,0.5390052557287998,3180082.5,923898.6875,0.9854558119499665,1.0123915591290362,157.14649197506728,157.14649197506728,157.14649197506728,337.1464919750673,3667.4099540050847,436.5713046571625,8.400483299939003,0,low_snr
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,0.8140000104904175,2026-06-02T13:51:00.814000,we,1,57.572288513183594,32.023136138916016,0.5562248256221813,3317883.0,1026506.625,1.0303920165306288,1.109168081886342,157.5362675901996,157.5362675901996,157.5362675901996,337.5362675901996,3790.3952052160867,553.9943452357222,6.841938438204243,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,1.0,2026-06-02T13:51:01,we,1,57.033329010009766,52.424705505371094,0.9191942047810194,3256053.5,2751098.25,0.9777992465715671,2.992589465563591,143.27587404285262,143.27587404285262,143.27587404285262,323.2758740428526,3889.8318487472447,2117.3200419033537,1.8371487407498863,0,low_snr;weak_linearity;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,1.2450000047683716,2026-06-02T13:51:01.245000,ns|we,2,63.67245101928711,34.339866638183594,0.5393206337821221,4058235.0,1180405.5,1.221998710589057,1.3276397313858967,157.3889529837354,157.3889529837354,157.3889529837354,337.3889529837354,4662.186883708731,576.4534406552625,8.08770761851842,0,low_snr
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,1.909999966621399,2026-06-02T13:51:01.910000,we,1,56.055328369140625,29.92658233642578,0.533875783214577,3145342.25,896495.9375,0.9577721378444033,0.9862498497791238,157.45642833460363,157.45642833460363,157.45642833460363,337.45642833460363,3613.5177406428234,428.32050565145613,8.436480843117277,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,2.135333336889744,2026-06-02T13:51:02.135333,ns|we,3,56.925662994384766,29.40321922302246,0.516519574412727,3243771.5,865413.875,0.9092604550242931,0.926233808389044,158.23056742375877,158.23056742375877,158.23056742375877,338.23056742375877,3695.0493374129182,414.136166100951,8.92230536685896,0,low_snr
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,2.6030000150203705,2026-06-02T13:51:02.603000,ns|we,2,60.04782485961914,31.212785720825195,0.5197987736240983,3609347.25,975212.25,1.0791569884415155,0.9835734603592905,157.90244870120478,157.90244870120478,157.90244870120478,337.9024487012048,4129.270445309454,455.2890863573041,9.069557274801124,0,low_snr
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,2.6480000019073486,2026-06-02T13:51:02.648000,ns|we,2,67.09735870361328,41.32301330566406,0.6158664678321853,4506557.0,1709299.0,1.4043042778144368,1.888706690044524,154.0175234749551,154.0175234749551,154.0175234749551,334.0175234749551,5377.901143300657,837.9547816461628,6.417889438778259,0,low_snr
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,2.7860000133514404,2026-06-02T13:51:02.786000,ns,1,65.28453826904297,30.9062442779541,0.4734083306308524,4266333.5,956151.125,1.3926260900031417,1.081452760342776,164.01859642116045,164.01859642116045,164.01859642116045,344.01859642116045,4562.099193766173,660.3853518853366,6.90823801700297,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,2.912000000476837,2026-06-02T13:51:02.912000,we,1,57.328147888183594,30.289011001586914,0.5283444890050166,3289803.0,918341.625,1.0160015903926753,1.008171032568094,157.63455266213333,157.63455266213333,157.63455266213333,337.63455266213333,3773.1282859209964,435.01654578411456,8.67352821975989,0,low_snr;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,3.0,2026-06-02T13:51:03,we,1,56.32122802734375,56.94364929199219,1.01105127296488,3175253.0,3245822.0,0.9538250734299281,3.4996765561863366,134.15527337086704,134.15527337086704,134.15527337086704,314.155273370867,4407.351608344337,2013.723574380075,2.188657700797459,0,weak_linearity;single_channel_detection
/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/Broadband_Data_2026.06.02_13.51.00.bin,3.0920000076293945,2026-06-02T13:51:03.092000,we,1,57.11968231201172,29.971242904663086,0.5247095517959471,3265920.5,899173.75,0.9797101493899135,0.9655512232040712,158.63181762058272,158.63181762058272,158.63181762058272,338.63181762058275,3693.7097896255327,471.38435184578276,7.835876976319214,0,low_snr;single_channel_detection
