file_name,file_datetime,channel,segments,events,events_per_minute,mean_events_per_segment,max_heatmap,mean_heatmap
Broadband_Data_2026.03.25_16.50.00.bin,2026-03-25T16:50:00,we,30,75,75.0,2.5,0.9978826642036438,0.04626940128703912
Broadband_Data_2026.03.25_16.51.00.bin,2026-03-25T16:51:00,ns,30,148,148.0,4.933333333333334,0.997405469417572,0.06801766144732634
Broadband_Data_2026.03.25_16.51.00.bin,2026-03-25T16:51:00,we,30,57,57.0,1.9,0.9979804158210754,0.043533715729912124
Broadband_Data_2026.03.25_16.52.00.bin,2026-03-25T16:52:00,ns,30,151,151.0,5.033333333333333,0.9988917708396912,0.0706653152902921
Broadband_Data_2026.03.25_16.52.00.bin,2026-03-25T16:52:00,we,30,77,77.0,2.566666666666667,0.9979815483093262,0.04846506714820862
Broadband_Data_2026.03.25_16.53.00.bin,2026-03-25T16:53:00,ns,30,184,184.0,6.133333333333334,0.998308539390564,0.07726920414716006
Broadband_Data_2026.03.25_16.53.00.bin,2026-03-25T16:53:00,we,30,83,83.0,2.7666666666666666,0.9976992011070251,0.05127643172939619
Broadband_Data_2026.03.25_16.54.00.bin,2026-03-25T16:54:00,ns,30,175,175.0,5.833333333333333,0.9980165958404541,0.07643029913306236
Broadband_Data_2026.03.25_16.54.00.bin,2026-03-25T16:54:00,we,30,103,103.0,3.433333333333333,0.9979787468910217,0.053785930201411244
Broadband_Data_2026.03.25_16.55.00.bin,2026-03-25T16:55:00,ns,30,179,179.0,5.966666666666667,0.9989230036735535,0.07936583509047826
Broadband_Data_2026.03.25_16.55.00.bin,2026-03-25T16:55:00,we,30,96,96.0,3.2,0.9977510571479797,0.053880940501888595
Broadband_Data_2026.03.25_16.56.00.bin,2026-03-25T16:56:00,ns,30,137,137.0,4.566666666666666,0.9974924325942993,0.06776078380644321
Broadband_Data_2026.03.25_16.56.00.bin,2026-03-25T16:56:00,we,30,70,70.0,2.3333333333333335,0.9978535771369934,0.04860306742290656
Broadband_Data_2026.03.25_16.57.00.bin,2026-03-25T16:57:00,ns,30,156,156.0,5.2,0.997574508190155,0.0746158899118503
Broadband_Data_2026.03.25_16.57.00.bin,2026-03-25T16:57:00,we,30,72,72.0,2.4,0.9978805780410767,0.05009909979999065
Broadband_Data_2026.03.25_16.58.00.bin,2026-03-25T16:58:00,ns,30,179,179.0,5.966666666666667,0.9980975985527039,0.08519535337885221
Broadband_Data_2026.03.25_16.58.00.bin,2026-03-25T16:58:00,we,30,90,90.0,3.0,0.9977675676345825,0.05925434132417043
Broadband_Data_2026.03.25_16.59.00.bin,2026-03-25T16:59:00,ns,30,190,190.0,6.333333333333333,0.9984777569770813,0.09038934409618378
Broadband_Data_2026.03.25_16.59.00.bin,2026-03-25T16:59:00,we,30,151,151.0,5.033333333333333,0.998001754283905,0.07111791496475538
Broadband_Data_2026.03.25_17.00.00.bin,2026-03-25T17:00:00,ns,30,179,179.0,5.966666666666667,0.998894989490509,0.07943728975951672
Broadband_Data_2026.03.25_17.00.00.bin,2026-03-25T17:00:00,we,30,82,82.0,2.7333333333333334,0.9980233907699585,0.053288501252730686
Broadband_Data_2026.03.25_17.01.00.bin,2026-03-25T17:01:00,ns,30,161,161.0,5.366666666666666,0.9991022348403931,0.07299377831319968
Broadband_Data_2026.03.25_17.01.00.bin,2026-03-25T17:01:00,we,30,64,64.0,2.1333333333333333,0.9979050159454346,0.04776578185458978
Broadband_Data_2026.03.25_17.02.00.bin,2026-03-25T17:02:00,ns,30,149,149.0,4.966666666666667,0.9986945986747742,0.07268881642570098
Broadband_Data_2026.03.25_17.02.00.bin,2026-03-25T17:02:00,we,30,69,69.0,2.3,0.9979575872421265,0.04950443853934606
Broadband_Data_2026.03.25_17.03.00.bin,2026-03-25T17:03:00,ns,30,139,139.0,4.633333333333334,0.9976245760917664,0.06392418183386325
Broadband_Data_2026.03.25_17.03.00.bin,2026-03-25T17:03:00,we,30,65,65.0,2.1666666666666665,0.9978813529014587,0.04431208310027917
Broadband_Data_2026.03.25_17.04.00.bin,2026-03-25T17:04:00,ns,30,153,153.0,5.1,0.9989240765571594,0.07136628478765487
Broadband_Data_2026.03.25_17.04.00.bin,2026-03-25T17:04:00,we,30,75,75.0,2.5,0.9979962706565857,0.04697001265982787
Broadband_Data_2026.03.25_17.05.00.bin,2026-03-25T17:05:00,ns,30,161,161.0,5.366666666666666,0.9982699155807495,0.07193677723407746
Broadband_Data_2026.03.25_17.05.00.bin,2026-03-25T17:05:00,we,30,71,71.0,2.3666666666666667,0.998023271560669,0.048521971330046654
Broadband_Data_2026.03.25_17.06.00.bin,2026-03-25T17:06:00,ns,30,152,152.0,5.066666666666666,0.9980102181434631,0.07205475972344479
Broadband_Data_2026.03.25_17.06.00.bin,2026-03-25T17:06:00,we,30,68,68.0,2.2666666666666666,0.9978629946708679,0.04915933298567931
Broadband_Data_2026.03.25_17.07.00.bin,2026-03-25T17:07:00,ns,30,168,168.0,5.6,0.9987189769744873,0.08064547441899776
Broadband_Data_2026.03.25_17.07.00.bin,2026-03-25T17:07:00,we,30,75,75.0,2.5,0.9980524778366089,0.05281714548667272
Broadband_Data_2026.03.25_17.08.00.bin,2026-03-25T17:08:00,ns,30,164,164.0,5.466666666666667,0.9977018237113953,0.0793813823411862
Broadband_Data_2026.03.25_17.08.00.bin,2026-03-25T17:08:00,we,30,85,85.0,2.8333333333333335,0.9978813529014587,0.05396400801837444
Broadband_Data_2026.03.25_17.09.00.bin,2026-03-25T17:09:00,ns,30,145,145.0,4.833333333333333,0.9982632994651794,0.07579639591276646
Broadband_Data_2026.03.25_17.09.00.bin,2026-03-25T17:09:00,we,30,92,92.0,3.066666666666667,0.9978231191635132,0.059584425017237666
Broadband_Data_2026.03.25_17.10.00.bin,2026-03-25T17:10:00,ns,30,137,137.0,4.566666666666666,0.9982183575630188,0.07298142239451408
Broadband_Data_2026.03.25_17.10.00.bin,2026-03-25T17:10:00,we,30,85,85.0,2.8333333333333335,0.9976118803024292,0.05653100373844306
Broadband_Data_2026.03.25_17.11.00.bin,2026-03-25T17:11:00,ns,30,140,140.0,4.666666666666667,0.9986757636070251,0.06435980703681707
Broadband_Data_2026.03.25_17.11.00.bin,2026-03-25T17:11:00,we,30,63,63.0,2.1,0.9983867406845093,0.043984961385528244
Broadband_Data_2026.03.25_17.12.00.bin,2026-03-25T17:12:00,ns,30,121,121.0,4.033333333333333,0.9981709718704224,0.06039012111723423
Broadband_Data_2026.03.25_17.12.00.bin,2026-03-25T17:12:00,we,30,64,64.0,2.1333333333333333,0.9980473518371582,0.04343971125781536
Broadband_Data_2026.03.25_17.13.00.bin,2026-03-25T17:13:00,ns,30,134,134.0,4.466666666666667,0.9989318251609802,0.06590819805860519
Broadband_Data_2026.03.25_17.13.00.bin,2026-03-25T17:13:00,we,30,70,70.0,2.3333333333333335,0.9981489181518555,0.04531227834522724
Broadband_Data_2026.03.25_17.14.00.bin,2026-03-25T17:14:00,ns,30,121,121.0,4.033333333333333,0.9990412592887878,0.06103588193655014
Broadband_Data_2026.03.25_17.14.00.bin,2026-03-25T17:14:00,we,30,56,56.0,1.8666666666666667,0.9982989430427551,0.04261297546327114
Broadband_Data_2026.03.25_17.15.00.bin,2026-03-25T17:15:00,ns,30,121,121.0,4.033333333333333,0.9986782670021057,0.06323798062900703
Broadband_Data_2026.03.25_17.15.00.bin,2026-03-25T17:15:00,we,30,66,66.0,2.2,0.9982481002807617,0.047140669201811154
Broadband_Data_2026.03.25_17.16.00.bin,2026-03-25T17:16:00,ns,30,149,149.0,4.966666666666667,0.9987753033638,0.0703612893819809
Broadband_Data_2026.03.25_17.16.00.bin,2026-03-25T17:16:00,we,30,69,69.0,2.3,0.99797123670578,0.045468396569291754
Broadband_Data_2026.03.25_17.17.00.bin,2026-03-25T17:17:00,ns,30,153,153.0,5.1,0.9993446469306946,0.06828990491727988
Broadband_Data_2026.03.25_17.17.00.bin,2026-03-25T17:17:00,we,30,77,77.0,2.566666666666667,0.998863697052002,0.04814837065835794
Broadband_Data_2026.03.25_17.18.00.bin,2026-03-25T17:18:00,ns,30,168,168.0,5.6,0.9986257553100586,0.08411048191289107
Broadband_Data_2026.03.25_17.18.00.bin,2026-03-25T17:18:00,we,30,132,132.0,4.4,0.9979321956634521,0.06837861326833566
Broadband_Data_2026.03.25_17.19.00.bin,2026-03-25T17:19:00,ns,30,194,194.0,6.466666666666667,0.9985945820808411,0.08615619453291098
Broadband_Data_2026.03.25_17.19.00.bin,2026-03-25T17:19:00,we,30,87,87.0,2.9,0.9972149133682251,0.05785877319673697
Broadband_Data_2026.03.25_17.20.00.bin,2026-03-25T17:20:00,ns,30,199,199.0,6.633333333333334,0.9988119602203369,0.08952754040559133
Broadband_Data_2026.03.25_17.20.00.bin,2026-03-25T17:20:00,we,30,82,82.0,2.7333333333333334,0.9971945285797119,0.05412350458403428
Broadband_Data_2026.03.25_17.21.00.bin,2026-03-25T17:21:00,ns,30,174,174.0,5.8,0.9987898468971252,0.08272787779569626
Broadband_Data_2026.03.25_17.21.00.bin,2026-03-25T17:21:00,we,30,69,69.0,2.3,0.997394323348999,0.04864469369252523
Broadband_Data_2026.03.25_17.22.00.bin,2026-03-25T17:22:00,ns,30,197,197.0,6.566666666666666,0.9990929365158081,0.08621803497274717
Broadband_Data_2026.03.25_17.22.00.bin,2026-03-25T17:22:00,we,30,78,78.0,2.6,0.997568666934967,0.04896884759267171
Broadband_Data_2026.03.25_17.23.00.bin,2026-03-25T17:23:00,ns,30,140,140.0,4.666666666666667,0.9978037476539612,0.06778741156061491
Broadband_Data_2026.03.25_17.23.00.bin,2026-03-25T17:23:00,we,30,66,66.0,2.2,0.9973127245903015,0.04325495796899001
Broadband_Data_2026.03.25_17.24.00.bin,2026-03-25T17:24:00,ns,30,159,159.0,5.3,0.9989953637123108,0.07699048717816671
Broadband_Data_2026.03.25_17.24.00.bin,2026-03-25T17:24:00,we,30,71,71.0,2.3666666666666667,0.9982796907424927,0.04475118244687716
Broadband_Data_2026.03.25_17.25.00.bin,2026-03-25T17:25:00,ns,30,139,139.0,4.633333333333334,0.9987045526504517,0.0675288020943602
Broadband_Data_2026.03.25_17.25.00.bin,2026-03-25T17:25:00,we,30,63,63.0,2.1,0.9979671835899353,0.04422902911901474
Broadband_Data_2026.03.25_17.26.00.bin,2026-03-25T17:26:00,ns,30,133,133.0,4.433333333333334,0.9989532232284546,0.0698339535544316
Broadband_Data_2026.03.25_17.26.00.bin,2026-03-25T17:26:00,we,30,63,63.0,2.1,0.9978445768356323,0.046957649663090704
Broadband_Data_2026.03.25_17.27.00.bin,2026-03-25T17:27:00,ns,30,172,172.0,5.733333333333333,0.9986817240715027,0.07765476057926814
Broadband_Data_2026.03.25_17.27.00.bin,2026-03-25T17:27:00,we,30,78,78.0,2.6,0.9978857636451721,0.04994362418850263
Broadband_Data_2026.03.25_17.28.00.bin,2026-03-25T17:28:00,ns,30,133,133.0,4.433333333333334,0.999026894569397,0.06299748693903287
Broadband_Data_2026.03.25_17.28.00.bin,2026-03-25T17:28:00,we,30,55,55.0,1.8333333333333333,0.9977117776870728,0.041636621579527855
Broadband_Data_2026.03.25_17.29.00.bin,2026-03-25T17:29:00,ns,30,142,142.0,4.733333333333333,0.9992029070854187,0.07070369372765223
Broadband_Data_2026.03.25_17.29.00.bin,2026-03-25T17:29:00,we,30,65,65.0,2.1666666666666665,0.9978700876235962,0.04955977002779643
Broadband_Data_2026.03.25_17.30.00.bin,2026-03-25T17:30:00,ns,30,152,152.0,5.066666666666666,0.9976626634597778,0.07247242132822672
